,Borough,Location,Spaces,Times of Operation,Rank No.,Notes,Longitude,Latitude
267,Lewisham,New Cross Road (The Venue),4,22:00 – 06:00,6007,TLRN,-0.0371729,51.4757857
268,Merton,"Aberconway Road, Morden",6,24 hours,4805,TLRN,-0.192013,51.4015535
269,Merton,"Alexandra Road, Wimbledon",2,24 hours,5691,,-0.2034591,51.4240372
270,Merton,"Church Road, Wimbledon (Gate 4 South)",30,Operates only during tennis championships,5587,,-0.2122886,51.4316837
271,Merton,Christchurch Road (Colliers Wood Station),3,19:00 – 07:00,5985,"TLRN
Shared use loading bay",-0.175973,51.4143682
272,Merton,Coombe Lane (Raynes Park Station),2,    Monday to Saturday not in operation between 07.00 – 10.00 and 16.00 - 19.00     Sunday operates 24 hours,5634,,-0.2301665,51.4088439
273,Merton,"High Street, Wimbledon",2,24 hours,5210,,-0.2191585,51.4254129
274,Merton,London Road (Morden Station),4,19:00 – 07:00,5721,"TLRN
Shared use loading bay",-0.1947068,51.402248
275,Merton,Morden Road (South Wimbledon Station),2,Friday and Saturday 22:00 – 06:00,5995,,-0.191542,51.4103176
276,Merton,"Somerset Road, Wimbledon",8,Operates only during tennis championships,5588,,-0.2188719,51.4333871
277,Merton,The Broadway (Po Na Na),2,22:00 – 06:00,5128,,-0.2017497,51.4196089
278,Merton,The Broadway (Centre Court Shopping Centre),2,24 hours,5679,,-0.2052755,51.4212531
279,Merton,"Orinoco Lane, leading to Service Road, Wimbledon Station",4,24 hours,5692,,-0.2054832,51.4214125
280,Merton,Worple Road (Sainsbury’s),3,24 hours,5382,,-0.1815746,51.4151621
281,Newham,Cam Road (Gala Bingo Club),4,24 hours,5485,,-0.0014573,51.5377121
282,Newham,High Street (East Ham Station),2,24 hours,5808,,0.0514335,51.5390451
283,Newham,"Kempton Road, East Ham",6,24 hours,5180,,0.0584873,51.5357258
284,Newham,Memorial Avenue (West Ham Station),2,19.00 – 07.00,5826,,0.0040313,51.539062
285,Newham,Montfichet Road (Westfield Shopping Centre/Stratford Station),4,24 hours,5983,,-0.0072354,51.5431462
286,Newham,Plaistow Road (Plaistow Station),7,24 hours,5505,,0.01785,51.5312296
287,Newham,Queen’s Road (Upton Park Station),2,Not in operation during match days at the Boleyn Ground,5827,,0.035291,51.5353505
288,Newham,Romford Road (Bow County Court),2,24 hours,5429,,0.010921,51.5431037
289,Newham,Roundhouse Lane (Westfield Shopping Centre/Premier Inn Hotel),11,24 hours,5984,,-0.0091611,51.5441157
290,Newham,Silvertown Way (Canning Town Interchange),2,24 hours,5301,,0.0114762,51.5119766
291,Newham,Station Street (Stratford Station),13,24 hours,6026,,-0.001498,51.5400923
292,Newham,Stratford International Station/Bus Station,10,24 hours,5979,,-0.0090218,51.5454778
293,Newham,The Broadway (Broadway shopping centre),7,24 hours,5459,,0.0001968,51.5414986
294,Newham,Westfield Avenue (Westfield Shopping Centre/Cow Public House),5,24 hours,5978,,-0.0072354,51.5431462
295,Redbridge,Balfour Road (Ilford Station),7,24 hours,6032,,0.0710479,51.5606095
296,Redbridge,Belgrave Road (Ilford Station),2,24 hours,6012,,0.06668,51.559456
297,Redbridge,"Clarence Avenue, Ilford",5,24 hours,5673,,0.0638795,51.5757449
298,Redbridge,"Court Way, Barkingside",4,24 hours,5537,,0.0820281,51.5875959
299,Redbridge,Cranbrook Road (Faces),8,22:00 – 06:00,5630,,0.06834,51.577068
300,Redbridge,Fairlop Station Forecourt,2,22:00 – 06:00,5824,,0.0909494,51.5957484
301,Redbridge,"George Lane (Sainsbury’s), South Woodford",3,24 hours,5680,,0.0241753,51.5935698
302,Redbridge,George Lane (Lizard Lounge),3,    Monday to Saturday operates 18:30 – 08:30     Sunday operates 24 hours,5795,Shared use pay and display bays,0.0239417,51.5945565
303,Redbridge,81 George Lane (South Woodford Station),2,Friday and Saturday operates 22:00 – 06:00,5841,"Shared use parking
bay",0.0276123,51.5920236
304,Redbridge,97 George Lane (South Woodford Station),2,Friday and Saturday operates 22:00 – 06:00,5840,Shared use parking bay,0.0276123,51.5920236
305,Redbridge,High Road (Clements Road),2,00:00 - 06:00,5575,,0.0756418,51.5594489
306,Redbridge,High Road (Funky Mojoe),2,19:00 - 07:00,5782,"Shared use loading
bay",0.0211748,51.5969134
307,Redbridge,High Road (The Exchange),8,24 hours,5544,,0.0725629,51.5599303
308,Redbridge,Newbury Park Station,2,24 hours,5813,,0.0903303,51.5756426
309,Redbridge,Perth Road (Gants Hill Station),2,Friday and Saturday operates 22:00 – 06:00,5838,,0.0661732,51.5767812
310,Redbridge,Service Road Entrance to Wanstead Station Car Park (Wanstead Station),2,22:00 – 06:00,5825,,0.046108,51.576428
311,Redbridge,Snakes Lane East (Woodford Station),2,Friday and Saturday operates 22:00 – 06:00,5843,,0.0340548,51.6071983
312,Redbridge,Tanners Lane (Sainsbury’s),2,24 hours,4956,,0.0817544,51.5884484
313,Redbridge,Woodford Station Car Park (Woodford Station),2,Friday and Saturday operates 22:00 – 06:00,5842,,0.0333777,51.6061503
314,Richmond Upon Thames,George Street (Tesco Metro),2,24 hours,5747,,-0.3038862,51.4606653
315,Richmond Upon Thames,"Hill Street, Richmond",3,19:00 - 07:00,5454,,-0.3060872,51.4590199
316,Richmond Upon Thames,Kew Road (Richmond Station),30,    3rd and 4th portions operate 19:00 - 07:00     All other portions operate 24 hours,5815,3rd and 4th portions in shared use loading bays,-0.3015346,51.4642281
317,Richmond Upon Thames,Kew Road (Kew Gardens),10,Only in operation for designated events in Kew Gardens,5887,,-0.295573,51.4787438
318,Richmond Upon Thames,London Road (Twickenham Station),7,19:00 – 07:00,5994,,-0.3301713,51.4503775
319,Richmond Upon Thames,Station Road (Teddington Station),2,07:00 - 00:00,5749,,-0.333435,51.4263358
320,Richmond Upon Thames,Victoria Road (Teddington Station),2,07:00 - 00:00,5750,,-0.3326431,51.4239356
321,Richmond Upon Thames,Whittaker Avenue (All Bar One),3,19:00 - 07:00,5748,,-0.3049648,51.4576117
322,Southwark,240 Blackfriars Road,1,24 hours,5822,TLRN,-0.1041179,51.5065297
323,Southwark,Bermondsey Street,7,24 hours,5884,,-0.0818488,51.5007926
324,Southwark,Camberwell Green,2,24 hours,5491,TLRN,-0.0921476,51.4749631
325,Southwark,Holland Street (Tate Modern),7,24 hours,5996,,-0.100575,51.506565
326,Southwark,Lambeth Road (Imperial War Museum),2,24 hours,5548,,-0.1086615,51.4958308
327,Southwark,Meymott Street (Novotel Hotel),1,24 hours,5865,,-0.1048507,51.5051567
328,Southwark,New Globe Walk (Globe Theatre),3,24 hours,5415,,-0.097194,51.508076
329,Southwark,New Kent Road,3,24 hours,5558,TLRN,-0.0917865,51.4941287
330,Southwark,Southwark Street (Borough High Street),2,24 hours,5578,TLRN,-0.0908322,51.5047443
331,Southwark,Southwark Street (O’Meara Street),1,24 hours,5502,,-0.0939717,51.5047736
332,Southwark,Surrey Quays Road (Canada Water Station),4,19:00 – 07:00,5946,Shared use loading bay,-0.0496621,51.4980014
333,Southwark,St Thomas Street,6,24 hours,5876,,-0.0860355,51.5038174
334,Southwark,Printworks (Southwark),40,Only in operation during designated events,5971,,-0.0455359,51.4966382
335,Southwark,Upper Ground (The Mondrian Hotel),3,24 hours,5814,,-0.106863,51.5082017
336,Sutton,Cheam Road (Liquid),3,23:00 - 03:00,5498,,-0.2029622,51.3604195
337,Sutton,High Street/Mulgrave Road (Sutton Station),12,24 hours,5482,,-0.1910756,51.3596007
338,Sutton,"Marshall’s Road, Sutton",2,Monday to Saturday operates 08:00 - 18.30,5705,,-0.1941683,51.3677055
339,Sutton,Wrythe Lane (St. Helier Hospital),3,24 hours,5056,,-0.1844186,51.3803117
340,Tower Hamlets,Bethnal Green Road (Tesco),4,Sundays does not operate between 07:00 - 10:00 and 17:00 - 20:00,5642,,-0.0611683,51.5270328
341,Tower Hamlets,Columbia Road (Columbia Flower Market),2,Sunday only 09:00 – 15:00,5849,,-0.069809,51.529129
342,Tower Hamlets,East Smithfield (Royal Mint Court),3,24 hours,5451,TLRN,-0.0693194,51.5087004
343,Tower Hamlets,"Mile End Road/Maplin Street, (Mile End Station)",7,24 hours,5675,TLRN,-0.0334172,51.5251447
344,Tower Hamlets,"Royal Gate West, Victoria Park",15,Only in operation during designated events,5762,,-0.0428835,51.5369636
345,Tower Hamlets,St. Stephen's Road (Roman Road Market),1,24 hours,5557,,-0.0295187,51.5329334
346,Tower Hamlets,Trinity Square (Tower Hill Station),2,24 hours,5269,,-0.07479,51.51062
347,Waltham Forest,Church Lane (Leytonstone Station),2,24 hours,5368,,0.0085202,51.5682599
348,Waltham Forest,Grove Green Road (Leytonstone Station),2,24 hours,5439,,0.0085202,51.5682599
349,Waltham Forest,Lea Bridge Road (Ibis Styles Hotel),2,24 hours,5792,,-0.0156747,51.5736424
350,Waltham Forest,Selborne Road (north side of Walthamstow Central Station),2,19:00 – 05:00,5235,,-0.019886,51.5830128
351,Waltham Forest,Selborne Road (Walthamstow Central Station),5,16:00 – 06:00,6008,,-0.0198832,51.5830044
352,Wandsworth,"Augustus Road, Southfields",19,Operates only during tennis championships,5639,,-0.2110585,51.4445994
353,Wandsworth,Balham Hill (Clapham South Station),2,19:00 – 07:00,5836,"TLRN
Shared use loading bay",-0.1478256,51.4528116
354,Wandsworth,Balham Station Road (Balham Station),7,24 hours,5665,,-0.1524,51.44322
355,Wandsworth,Battersea Park (Chelsea Gate),12,Operates during designated event,5888,,-0.149529,51.483263
356,Wandsworth,Garratt Lane (Arndale/Southside),6,24 hours,5644,"Island rank Merton
and Sutton drivers",-0.1940819,51.4553879
357,Wandsworth,Garratt Lane (Sainsbury's),5,24 hours,5086,Island rank Merton and Sutton drivers,-0.1918526,51.4545168
358,Wandsworth,High Street (Putney Station),4,24 hours,5751,Island rank Richmond upon Thames drivers,-0.2158717,51.4632453
359,Wandsworth,Mitcham Road (Tooting Broadway Station),2,24 hours,5006,"Island rank Merton
and Sutton drivers",-0.1677608,51.4276384
360,Wandsworth,Northcote Road,4,19:00 – 07:00,5798,TLRN,-0.1656169,51.4570873
361,Wandsworth,Stapleton Road (Tooting Bec Station),2,19:00 – 07:00,5980,Shared use loading bay,-0.1594981,51.4355307
362,Wandsworth,St. John’s Hill/Prested Road (Clapham Junction Station),8,24 hours,5703,,-0.1708113,51.4651737
363,Wandsworth,Upper Richmond Road,3,19:00 – 07:00,5752,Island rank Richmond upon Thames drivers,-0.2269572,51.4629733
364,Wandsworth,Werter Road (Sainsbury’s),2,24 hours,5032,,-0.2155139,51.46218
365,Wandsworth,Wimbledon Park Road (Southfields Station),2,Does not operate during tennis championships,5619,Island rank Merton and Sutton drivers,-0.2065672,51.4453602
366,Westminster,Acacia Road (St. John’s Wood Station),7,24 hours,4489,,-0.1740969,51.5347066
367,Westminster,Adams Row/Mount Row (Millennium London Mayfair Hotel),9,24 hours,5302,,-0.1509254,51.5105375
368,Westminster,Albermarle Street (Rocco Forte Browns Hotel),2,24 hours,5267,,-0.1421113,51.509128
369,Westminster,Aldwych,5,24 hours,3915,Rest rank R0001,-0.1171832,51.5132657
370,Westminster,Aldwych (Waldorf Hilton Hotel),5,24 hours,3914,,-0.1189734,51.5125366
371,Westminster,Aldwych (One Aldwych Hotel),2,24 hours,5331,,-0.11934,51.5117908
372,Westminster,Aldwych (ME Hotel),2,24 hours,5767,,-0.1186952,51.5118147
373,Westminster,Air Street (Cafe Royal Hotel),5,24 hours,5686,,-0.1363591,51.5101943
374,Westminster,Argyll Street (London Palladium),4,21:00 – 04:00,5660,,-0.1405622,51.5145441
375,Westminster,Arlington Street (Bennet Street),2,24 hours,4150,,-0.1407477,51.506935
376,Westminster,Arlington Street (The Ritz Hotel),2,24 hours,5252,,-0.1405892,51.5065183
377,Westminster,Arundel Street,2,24 hours,5315,Rest rank R0002,-0.1143676,51.5125289
378,Westminster,Baker Street (Dorset Street),3,24 hours,4975,,-0.1562937,51.5194691
379,Westminster,Balderton Street (The Beaumont Hotel),3,24 hours,5820,,-0.1521494,51.5128345
380,Westminster,Belgrave Square (north east corner),2,24 hours,4412,,-0.152791,51.4985756
381,Westminster,Belgrave Square (north west corner),2,24 hours,3738,,-0.152791,51.4985756
382,Westminster,Berkeley Square (40 Berkeley Square),3,24 hours,5868,,-0.1470975,51.5097416
383,Westminster,Berkeley Square (Berkeley Square House),2,24 hours,5600,,-0.1444328,51.509827
384,Westminster,Berkeley Square (north west corner),2,    Rest Rank: 06:00 – 00:00     Working Rank: 00:00 – 06:00,5862,Rest Rank R0023,-0.1459015,51.5094967
385,Westminster,Berkeley Square (south side),4,24 hours,5651,,-0.1463001,51.5094238
386,Westminster,Berkeley Street (Holiday Inn),2,24 hours,5014,,-0.142449,51.507658
387,Westminster,Berkeley Street (Novikov),5,24 hours,6005,,-0.1429232,51.5076236
388,Westminster,Berkeley Street (Nobu),5,19:00 – 04:00,5647,,-0.1433108,51.5084529
389,Westminster,Berners Street (London Edition Hotel),3,24 hours,5816,,-0.135965,51.5167472
390,Westminster,Berners Street (Sanderson Hotel),2,24 hours,5379,,-0.137041,51.5173664
391,Westminster,Bishop’s Bridge Road (feeder for Paddington Station rank),10,24 hours,5711,,-0.1769328,51.5166744
392,Westminster,Bolsover Street (Holiday Inn London Regents Park Hotel),3,24 hours,5592,,-0.1426128,51.5222472
393,Westminster,Brewer Street (Madame Jojo's),3,24 hours,5017,,-0.1338545,51.5124934
394,Westminster,Brick Street (Park Lane Hotel),4,24 hours,4863,,-0.1166864,51.5009572
395,Westminster,Broadway (Queen Anne’s Gate),3,24 hours,6006,,-0.1329846,51.5005499
396,Westminster,Brook Street (Claridges),4,24 hours,6023,,-0.1478891,51.5124781
397,Westminster,Bruton Street (Hakkasan),5,18:30 – 08:30,5821,Shared use parking bay,-0.1450005,51.5102647
398,Westminster,Bryanston Street/Granville Place (Amba Hotel Marble Arch),6,24 hours,4802,,-0.1565506,51.5144004
399,Westminster,Buckingham Gate (St. James Court Hotel),7,24 hours,5078,,-0.1372296,51.4985238
400,Westminster,Burlington Gardens (Museum of Mankind),2,24 hours,4182,,-0.1405829,51.5098701
401,Westminster,Burwood Place (Edgware Road),1,Monday to Saturday operates 07:00 - 19:00,4849,,-0.165669,51.5168714
402,Westminster,Burwood Place (Edgware road),2,    Monday to Saturday operates 19:00 - 07:00     Sunday operates 24 hours,4849,,-0.165669,51.5168714
403,Westminster,Bury Street (Quaglino’s),4,14:00 - 06:30,5594,,-0.1389263,51.5074754
404,Westminster,Carlos Place (The Connaught),2,24 hours,5668,,-0.1498169,51.5102521
405,Westminster,Cavendish Square (John Lewis),6,24 hours,5576,,-0.145197,51.5154109
406,Westminster,Caxton Street (St. Ermin’s Jolly Hotel),4,24 hours,3998,,-0.1344175,51.4991371
407,Westminster,Charing Cross Road,10,"    1st portion rest rank between 08:30 - 20:00, working rank between 20:00 - 03:00     2nd Portion operates 20:00 - 03:00",5758,,-0.1287548,51.5126245
408,Westminster,Charles Street (Chesterfield Hotel),3,24 hours,4875,,-0.1471358,51.5076899
409,Westminster,Chelsea Bridge Road (Lister Hospital),2,24 hours,5560,,-0.150559,51.486454
410,Westminster,Conduit Street,2,24 hours,5866,Rest Rank R0029,-0.1419696,51.5121836
411,Westminster,Conduit Street (Sketch),3,18:30 - 08:30,5677,,-0.141529,51.512693
412,Westminster,Conduit Street (Westbury Hotel),3,24 hours,5683,,-0.1426439,51.5112589
413,Westminster,Coventry Street/Oxendon Street,14,    1st portion operates 21:30 - 08:00     2nd to 5th portions operate 18:30 - 08:30,5670,,-0.1322833,51.5102955
414,Westminster,Coventry Street (Troccadero),3,24 hours,5572,,-0.1329675,51.5106013
415,Westminster,Cranbourn Street (Leicester Square Station),5,00:00 – 11:00,5737,,-0.128144,51.511451
416,Westminster,Curzon Street (Bolton Street),2,24 hours,4949,"Rest Rank
R0018",-0.145135,51.5076953
417,Westminster,Curzon Street (Curzon Place),2,24 hours,5864,,-0.1508611,51.5063075
418,Westminster,Curzon Street (Washington Hotel),2,24 hours,4475,,-0.1461144,51.5071657
419,Westminster,Davies Street (C London Restaurant),2,24 hours,6022,,-0.1478879,51.5112162
420,Westminster,Deanery Street/Stanhope Gate (Dorchester Hotel),10,24 hours,5373,TLRN,-0.1524156,51.5074354
421,Westminster,"Devonshire Place (Marylebone Road, The London Clinic)",2,24 hours,5590,,-0.1498656,51.5230212
422,Westminster,Dover Street,5,    Rest rank between: 08:30 – 18:30     Working rank between: 18:30 – 08:30,5863,Rest Rank R0022,-0.1421616,51.5084
423,Westminster,Dover Street (Mahiki),4,    Rest rank between: 04:00 – 18:30     Working rank between: 18:30 – 04:00,5861,Rest Rank R0023,-0.1413888,51.5077555
424,Westminster,Down Street (Athenaeum Hotel),4,24 hours,4706,,-0.1475618,51.504716
425,Westminster,Duke Street (Selfridges),2,24 hours,5565,,-0.1510434,51.5138874
426,Westminster,Eccleston Bridge,5,24 hours,5654,Rest rank R0003,-0.1456149,51.4938036
427,Westminster,Eccleston Place (Victoria Coach Station),8,24 hours,5788,,-0.1481615,51.4925005
428,Westminster,Edgware Road (Crawford Place),4,24 hours,5321,TLRN,-0.1666556,51.5176535
429,Westminster,"Elgin Avenue, Maida Vale",6,24 hours,5426,,-0.1908648,51.5276801
430,Westminster,Embankment Place (Northumberland Avenue),13,24 hours,4982,Also refreshment rank,-0.1233294,51.5066578
431,Westminster,Exeter Street (Strand Palace Hotel),3,24 hours,5506,,-0.1206784,51.5108951
432,Westminster,George Street (Durrants Hotel),2,24 hours,5239,,-0.1529794,51.5179386
433,Westminster,George Yard (Marriott Hotel),5,24 hours,5607,,-0.119174,51.5010534
434,Westminster,"Gerrard Place, Soho",2,18:30 – 06:30,5090,,-0.1302694,51.5124557
435,Westminster,Gillingham Street,3,24 hours,5744,Rest rank R0015,-0.1424859,51.4934372
436,Westminster,Great Cumberland Place/Bryanston Street  (The Cumberland – A Guoman Hotel),14,    1st portion operates 24 hours     2nd and 3rd portions operates 08:00 – 00:00,5203,,-0.1586045,51.5138631
437,Westminster,Great Cumberland Place (The Montcalm Hotel),2,24 hours,4583,,-0.1594199,51.5152775
438,Westminster,"Great Marlborough Street (Courthouse, Double Tree Hilton)",2,24 hours,5500,,-0.1394682,51.5143566
439,Westminster,Great Marlborough Street (Marks and Spencer),2,24 hours,5627,,-0.140927,51.497666
440,Westminster,Great Portland Street (Margaret Street),1,24 hours,4603,Rest rank R0004,-0.1412063,51.5166714
441,Westminster,Grosvenor Crescent (The Lanesborough),4,24 hours,5000,,-0.152738,51.5022083
442,Westminster,Grosvenor Gardens/Hobart Place,14,24 hours,5773,Refreshment rank,-0.1469381,51.4981021
443,Westminster,Grosvenor Street,3,24 hours,4045,Rest rank R0005,-0.1475014,51.5116643
444,Westminster,Half Moon Street (Flemings Hotel),2,24 hours,5323,,-0.145166,51.5064379
445,Westminster,Hamilton Place (Four Seasons Hotel),5,24 hours,4457,,-0.149911,51.504439
446,Westminster,Hamilton Place (Intercontinental Hotel),8,24 hours,4761,,-0.1501101,51.5038725
447,Westminster,Hanover Square,12,24 hours,4787,Also refreshment rank,-0.1433002,51.5139303
448,Westminster,Harewood Avenue (feeder rank for Marylebone Station),10,24 hours,5823,,-0.1631669,51.5224906
449,Westminster,Harley Street (Queen Anne Street),2,24 hours,4334,,-0.1465646,51.5181436
450,Westminster,Harrowby Street (Victoria Casino),2,16:30 – 10:00,5219,,-0.1652105,51.5171346
451,Westminster,Haymarket (Piccadilly),4,22:00 – 05:00,5856,,-0.1327023,51.5098233
452,Westminster,Haymarket (Tiger Tiger Club),4,18.30 – 05.00,5853,"Shared use loading
bay",-0.1325621,51.5096262
453,Westminster,Haymarket (Theatre Royal),4,24 Hours,5854,,-0.1315554,51.5085064
454,Westminster,Haymarket (Sports Bar),2,18:30 – 05:00,5855,Shared use parking bay,-0.131482,51.507916
455,Westminster,Hyde Park Street (Bayswater Road),6,24 hours,3228,Rest rank R0006,-0.1675699,51.5124762
456,Westminster,Hyde Park (Winter Wonderland),12,Only in operation during Winter Wonderland,5753,,-0.1657303,51.5072682
457,Westminster,Inverness Place,3,    Rest rank between: 06:30 – 18:30     Working rank between: 18:30 – 06:30,5859,Rest Rank R0024,-0.1871213,51.5121758
458,Westminster,Jermyn Street (rear of lay-by at No. 1),2,24 hours,5325,,-0.1364788,51.5085039
459,Westminster,Jermyn Street (Tramps Nightclub),1,18:30 – 06:30,5363,"Shared use parking
bay",-0.1376973,51.5081631
460,Westminster,King Street (Christies Rooms),2,24 hours,5191,,-0.1293572,51.5021585
461,Westminster,Knightsbridge Green,2,24 hours,5410,TLRN,-0.1624032,51.5011708
462,Westminster,Knightsbridge (Mandarin Oriental Hotel),2,24 hours,5637,TLRN,-0.1600411,51.5021402
463,Westminster,Lancaster Gate,4,24 hours,5431,Rest rank R0007,-0.1802482,51.5115786
464,Westminster,Lancaster Gate (Plaza on Park Hotel),2,24 hours,5161,,-0.1821347,51.5114263
465,Westminster,Leinster Gardens (Blakemore Hotel),2,24 hours,5036,,-0.1837431,51.5129736
466,Westminster,Lowndes Street (Lowndes Hotel),2,24 hours,4492,,-0.1578025,51.499327
467,Westminster,Lupus Street/St. George’s Square,13,24 hours,5495,Refreshment rank,-0.1348319,51.4887879
468,Westminster,Mandeville Place (Mandeville Hotel),3,24 hours,4676,,-0.151025,51.516512
469,Westminster,Marylebone High Street (Waitrose),2,24 hours,5440,,-0.1425596,51.4979888
470,Westminster,Marylebone Road (Baker Street),12,24 hours,4404,Rest rank R0008,-0.1575292,51.5221846
471,Westminster,Matthew Parker Street (QEII Centre),4,24 hours,4884,Rest rank R0009,-0.1289924,51.5002321
472,Westminster,Millbank (Tate Gallery),2,24 hours,4364,,-0.1277886,51.4910621
473,Westminster,Millbank (Media Centre),5,24 hours,5329,,-0.1259315,51.4923168
474,Westminster,Montpelier Street,5,24 hours,5515,Rest Rank R0017,-0.1658526,51.4994412
475,Westminster,New Bond Street (Ralph Lauren),3,24 hours,4623,,-0.141417,51.5098
476,Westminster,New Bond Street (Clifford Street),4,24 hours,5099,Rest rank R0010,-0.142657,51.5105832
477,Westminster,New Burlington Street (Samantha's),4,00:00 – 07:00,5065,,-0.1412106,51.512179
478,Westminster,North Wharf Road,4,24 hours,5487,,-0.1757428,51.518776
479,Westminster,North Wharf Road (Marks and Spencer),5,24 hours,5488,,-0.1745856,51.5186764
480,Westminster,North Row (Marriott Park Lane Hotel),3,24 hours,6004,,-0.1577347,51.5131073
481,Westminster,"Nutford Place (Mariott, Marble Arch Hotel)",4,24 hours,4574,,-0.1638719,51.5163883
482,Westminster,Old Bond Street,4,24 hours,5317,Rest rank R0020,-0.1408325,51.5089159
483,Westminster,Old Compton Street (Greek Street),3,18:30 – 06:30,5481,,-0.1304849,51.5134865
484,Westminster,Old Park Lane,1,24 hours,5664,,-0.1494543,51.50449
485,Westminster,Orchard Street (Marks and Spencer),2,24 hours,5617,,-0.1574353,51.5227595
486,Westminster,Oxford Street (Selfridges),2,24 hours,5139,,-0.15257,51.51463
487,Westminster,Oxford Street (John Lewis),3,24 hours,5611,,-0.1446755,51.5150136
488,Westminster,Oxford Street (Debenhams),3,24 hours,5195,,-0.14778,51.51498
489,Westminster,Oxford Street (Marks and Spencer),3,24 hours,5104,,-0.140927,51.497666
490,Westminster,Pall Mall (RAC Club),2,24 hours,5432,,-0.1348245,51.5061025
491,Westminster,Park Lane (Grosvenor House Hotel),8,19:00 – 07:00,5636,"TLRN
Rear entrance of hotel/main entrance of ballroom",-0.1548081,51.5097377
492,Westminster,Park Lane (Curzon Street),4,19:00 – 07:00,4852,TLRN,-0.1515537,51.5060569
493,Westminster,Park Lane (Dorchester Hotel Ballroom),4,20:30 – 05:00,5541,TLRN,-0.1524156,51.5074354
494,Westminster,Park Lane/Hamilton Place (London Hilton Hotel),17,24 hours,4762,,-0.1504005,51.5055041
495,Westminster,Park Street (Grosvenor House Hotel),9,24 hours,5151,Main entrance of hotel/rear entrance of ballroom,-0.1548081,51.5097377
496,Westminster,Piccadilly (Fortnum and Masons),3,24 hours,5715,,-0.1380641,51.5082341
497,Westminster,Piccadilly (Le Meridian Waldorf Hotel),4,24 hours,5687,,-0.1363233,51.5094762
498,Westminster,"Porchester Road, Paddington",4,    Rest rank between 03:00 – 22:00     Working rank between 22:00 – 03:00,5860,Rest Rank R0025,-0.1882745,51.5173677
499,Westminster,Porchester Terrace (Thistle Kensington Gardens Hotel),2,24 hours,4213,,-0.1840993,51.5107453
500,Westminster,Portland Place (The Langham),8,24 hours,5015,,-0.1439928,51.517801
501,Westminster,Portman Square (The Churchill Hyatt Regency London Hotel),6,24 hours,4977,,-0.1570415,51.5154748
502,Westminster,Praed Street,3,24 hours,5499,Rest rank R0011,-0.1726286,51.5172468
503,Westminster,Queensborough Terrace (Central Park Hotel),3,24 hours,4529,,-0.1854595,51.5113738
504,Westminster,Queensway (Whiteleys),3,24 hours,5653,,-0.1884652,51.5145883
505,Westminster,Raphael Street (Zuma),3,18:30 – 08:30,5770,,-0.1631957,51.5009649
506,Westminster,Rathbone Street (Rathbone Hotel),1,24 hours,5141,,-0.135526,51.518697
507,Westminster,Regent Street (Hamley's),6,24 hours,5809,,-0.140164,51.512782
508,Westminster,Regent Street (Heddon Street),8,00:00 – 04:00,5779,,-0.138867,51.5110146
509,Westminster,Regent Street (Piccadilly Circus/Lillywhites),4,24 hours,4978,,-0.1343405,51.5097487
510,Westminster,Regent Street (Swallow Street),6,20:00 – 06:00,5975,,-0.1377179,51.5100329
511,Westminster,Russell Street (Covent Garden),5,24 hours,5395,"Part rest rank
R0012",-0.1207663,51.5129069
512,Westminster,Royal Albert Hall (Kensington Gore),2,21:00 – 00:00,5518,,-0.177366,51.5009088
513,Westminster,Seymour Place (Marylebone Court),1,    Monday to Friday operates between: 09:00 – 16:30     Saturday operates between: 09:00 – 13:00,5742,,-0.1644,51.5206705
514,Westminster,Seymour Street (Leonard Hotel),1,24 hours,5672,,-0.157873,51.514712
515,Westminster,Smith Square (east side),1,24 hours,4898,,-0.127072,51.4961331
516,Westminster,South Wharf Road (St. Mary’s Hospital),2,24 hours,5434,,-0.1742942,51.517907
517,Westminster,St. James’s Square (The In and Out Club/Naval Military Club),1,24 hours,5799,,-0.1348445,51.5080112
518,Westminster,"St. James’s Square (South West Arm, East India Club)",1,24 hours,5800,,-0.1365265,51.5071758
519,Westminster,St. James’s Street (Bennet Street),4,24 hours,5713,,-0.1399941,51.5072297
520,Westminster,St. James’s Street (Park Place),2,24 hours,5714,,-0.1394065,51.5066394
521,Westminster,St. John’s Wood Road (Lords),6,24 hours,5294,TLRN,-0.1709003,51.528861
522,Westminster,St. Martin’s Lane (St. Martins Lane Hotel),3,24 hours,5364,,-0.1267414,51.5104815
523,Westminster,St. Martin’s Lane,3,24 hours,6033,Rest rank,-0.1269651,51.5107377
524,Westminster,Strand (opposite Australia House),3,24 hours,5473,Rest Rank R0019,-0.115452,51.5127209
525,Westminster,Strand (St. Clement Danes Church),10,24 hours,4859,"Part rest rank
R0013",-0.1141015,51.5130722
526,Westminster,Strand (feeder rank to Charing Cross Station),6,24 hours,5281,,-0.1261947,51.5080336
527,Westminster,Stratton Street (May Fair Hotel),6,24 hours,5351,,-0.1438752,51.5081573
528,Westminster,Stratton Street (Langan’s),2,24 hours,3451,,-0.1434394,51.5070379
529,Westminster,Suffolk Place,2,24 hours,5596,,-0.1310752,51.5082013
530,Westminster,Temple Place,9,24 hours,4627,"Also refreshment
rank",-0.1136897,51.5112898
531,Westminster,Upper Berkeley Street/Montagu Street (Radisson Blu Portman Hotel),5,24 hours,4478,,-0.157789,51.516179
532,Westminster,Upper St. Martin’s Lane (Stringfellows),2,    Rest rank between: 08:30 - 18.30     Working rank between: 18.30 - 08.30,5875,,-0.12688,51.5122374
